word,meaning,meaning_vi,phonetics,note,example,type,level
cup,"a small container that is like a bowl in shape, usually with a handle, used for drinking tea, coffee, etc.","tách, chén",/kʌp/,"a small container that is like a bowl in shape, usually with a handle, used for drinking tea, coffee, etc.",He filled the cup with water.,noun,A1
customer,a person or an organization that buys goods or services from a shop or business,khách hàng,/ˈkʌstəmə(r)/,a person or an organization that buys goods or services from a shop or business,The store has a policy of putting the customer first.,noun,A1
cut,"to make an opening or a wound in something, especially with a sharp tool such as a knife or scissors",cắt,/kʌt/,"to make an opening or a wound in something, especially with a sharp tool such as a knife or scissors",Be careful not to cut yourself while using the sharp knife.,verb,A1
dad,father,"ba, cha, bố",/dæd/,father,That's my dad over there.,noun,A1
dance,to move the body and feet to music:,"nhảy múa, khiêu vũ",/dɑːns/,to move the body and feet to music:,She loves to dance salsa.,verb,A1
dancer,a person who dances or whose job is dancing,"vũ công, diễn viên múa",/ˈdɑːnsə(r)/,a person who dances or whose job is dancing,She's a fantastic dancer.,noun,A1
dancing,moving your body to music,"sự nhảy múa, sự khiêu vũ",/ˈdɑːnsɪŋ/,moving your body to music,There was music and dancing till two in the morning.,noun,A1
dangerous,"likely to injure or harm somebody, or to damage or destroy something",nguy hiểm,/ˈdeɪndʒərəs/,"likely to injure or harm somebody, or to damage or destroy something",The situation is extremely dangerous.,adjective,A1
dark,"with no or very little light, especially because it is night","tối, tối tăm, mù mịt, u ám",/dɑːk/,"with no or very little light, especially because it is night",I don't like walking in the dark because it's hard to see where I'm going.,adjective,A1
date,"a particular day of the month, sometimes in a particular year, given in numbers and words",ngày tháng,/deɪt/,"a particular day of the month, sometimes in a particular year, given in numbers and words",‘What's the date today?’ ‘The 10th.’,noun,A1
daughter,a person’s female child,con gái,/ˈdɔːtə(r)/,a person’s female child,We have two sons and a daughter.,noun,A1
dear,used at the beginning of a letter before the name or title of the person that you are writing to,"thân, thân yêu, yêu quý",/dɪə(r)/,used at the beginning of a letter before the name or title of the person that you are writing to,I received a letter from my dear friend who is studying abroad.,adjective,A1
decide,to think carefully about the different possibilities that are available and choose one of them,quyết định,/dɪˈsaɪd/,to think carefully about the different possibilities that are available and choose one of them,It's up to you to decide.,verb,A1
delicious,having a very pleasant taste or smell,ngon lành,/dɪˈlɪʃəs/,having a very pleasant taste or smell,Who cooked this? It's absolutely delicious.,adjective,A1
describe,to say what somebody/something is like,"mô tả, diễn tả, tả",/dɪˈskraɪb/,to say what somebody/something is like,The next section describes our findings in detail.,verb,A1
description,a piece of writing or speech that says what somebody/something is like; the act of writing or saying in words what somebody/something is like,"sự mô tả, sự diễn tả, sự tả",/dɪˈskrɪpʃn/,a piece of writing or speech that says what somebody/something is like; the act of writing or saying in words what somebody/something is like,The real estate agent gave a detailed description of the house.,noun,A1
design,"the art or process of deciding how something will look, work, etc. by drawing plans, making computer models, etc","bản phác thảo, bản phác họa, bản thiết kế",/dɪˈzaɪn/,"the art or process of deciding how something will look, work, etc. by drawing plans, making computer models, etc",The basic design of the car is very similar to that of earlier models.,noun,A1
desk,"a piece of furniture like a table, often with drawers (= parts like boxes in it with handles on the front for pulling them open), that you sit at to read, write, work, etc.","bàn viết, bàn làm việc, bàn học sinh",/desk/,"a piece of furniture like a table, often with drawers (= parts like boxes in it with handles on the front for pulling them open), that you sit at to read, write, work, etc.",I spend all day sitting at a desk.,noun,A1
detail,a small individual fact or item; a less important fact or item,chi tiết,/ˈdiːteɪl/,a small individual fact or item; a less important fact or item,"The artist included every detail in their painting, making it incredibly realistic.",noun,A1
dialogue,"a conversation in a book, play or film or in language teaching materials","cuộc đối thoại, cuộc hội thoại",/ˈdaɪəlɒɡ/,"a conversation in a book, play or film or in language teaching materials",Learners are asked to listen to three short dialogues.,noun,A1
dictionary,"a book or electronic resource that gives a list of the words of a language in alphabetical order and explains what they mean, or gives a word for them in a foreign language",từ điển,/ˈdɪkʃənri/,"a book or electronic resource that gives a list of the words of a language in alphabetical order and explains what they mean, or gives a word for them in a foreign language",I looked up the definition of that word in the dictionary.,noun,A1
die,"to stop being alive, either suddenly or slowly","qua đời, thiệt mạng",/daɪ/,"to stop being alive, either suddenly or slowly",Do they count people who die with Covid-19?,verb,A1
diet,"an eating plan in which someone eats less food, or only particular types of food, because they want to become thinner or for medical reasons",chế độ ăn kiêng,/ˈdaɪət/,"an eating plan in which someone eats less food, or only particular types of food, because they want to become thinner or for medical reasons",The doctor put me on a low-salt diet to reduce my blood pressure.,noun,A1
difference,the way in which two people or things are not like each other; the way in which somebody/something has changed,"sự khác nhau, sự khác biệt",/ˈdɪfrəns/,the way in which two people or things are not like each other; the way in which somebody/something has changed,"Americans and Brits speak the same language, but there are big cultural differences.",noun,A1
different,not the same as somebody/something; not like somebody/something else,"khác nhau, khác biệt",/ˈdɪfrənt/,not the same as somebody/something; not like somebody/something else,American English is significantly different from British English.,adjective,A1
difficult,not easy; needing effort or skill to do or to understand,"khó, khó khăn",/ˈdɪfɪkəlt/,not easy; needing effort or skill to do or to understand,The competition judges were given a very difficult task.,adjective,A1
dinner,"the main meal of the day, eaten either in the middle of the day or in the evening","bữa chính, bữa tối",/ˈdɪnə(r)/,"the main meal of the day, eaten either in the middle of the day or in the evening",It's time for dinner.,noun,A1
dirty,not clean,bẩn,/ˈdɜːti/,not clean,I need to wash these dirty dishes before cooking dinner.,adjective,A1
discuss,"to talk about something with somebody, especially in order to decide something","thảo luận, bàn cãi, tranh luận",/dɪˈskʌs/,"to talk about something with somebody, especially in order to decide something",Have you discussed the problem with anyone?,verb,A1
